INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	INT	INT	STRING
167	3	Eagle_king_Joan	167	Monster_167	60	4200	4200	0	0	100	999	999	999	25		2	0	0	0	1	5	246|247|248|249|250	20|20|20|20|20	Eagle_king_Joan	1		wound/HumanMaleEnemy
168	1	Werewolf_2	168	Monster_168	5	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Deinonychus_Werewolf	0		wound/wolfman
169	1	Werewolf_1	169	Monster_169	5	150	150	0	0	100	999	999	999	5		1	1	11|12|13|14	5|5|5|5	0	0	0	0	Walden_Baron	1		wound/wolfman
170	2	Ogre_1	170	Monster_170	12	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Bloodmaul_Ogre	0		wound/OgreMale
171	2	Ogre_2	171	Monster_171	12	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Bloodmaul_Warlock	0		wound/OgreMale
172	2	Ogre_1	172	Monster_172	12	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Bloodmaul_executioner	0		wound/OgreMale
173	2	Giant_hammer_Lowhersh	173	Monster_173	12	0	0	0	0	100	999	999	999	2		1	1	40|41|42|43|44|45|46|47	10|10|10|10|10|10|10|10	0	0	0	0	Giant_hammer_Lowhersh	1		wound/OgreMale
174	4	Goblin_3	174	Monster_174	20	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Blackwater_chef	0		wound/Goblin
175	4	Goblin_6	175	Monster_175	20	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Blackwater_Warlock	0		wound/Goblin
176	4	Gary_King	176	Monster_176	20	800	800	0	0	100	999	999	999	9		1	1	73|74|75|76|77|78|79|80	10|10|10|10|10|10|10|10	0	0	0	0	Gary_King	1		wound/Goblin
177	2	Orc_3	177	Monster_177	27	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Iron_teeth_bodyguard	0		wound/OrcMale
178	2	Orc_4	178	Monster_178	27	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Iron_teeth_Warlock	0		wound/OrcMale
179	2	Orc_3	179	Monster_179	27	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Iron_teeth_Beastmaster	0		wound/OrcMale
180	2	Chiefs_Attila	180	Monster_180	27	1050	1050	0	0	100	999	999	999	3		1	1	101|102|103|104|105|106|107|108	10|10|10|10|10|10|10|10	0	0	0	0	Chiefs_Attila	1		wound/OrcMale
181	3	Rebels_3	181	Monster_181	35	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Tower_Swashbuckler	0		wound/HumanMaleEnemy
182	3	Rebels_2	182	Monster_182	35	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Tower_Lancers	0		wound/HumanMaleEnemy
183	3	Rebels_4	183	Monster_183	35	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Tower_mage	0		wound/HumanMaleEnemy
184	3	Oran_Archmage	184	Monster_184	35	930	930	0	0	100	999	999	999	22		2	1	124|125|126|127|128|129|130|131|132|133|134|135	10|10|10|10|10|10|10|10|10|10|10|10	0	0	0	0	Oran_Archmage	1		wound/HumanMaleEnemy
185	6	Dragon_1	185	Monster_185	42	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Flame_Red_Dragon	0		wound/dragon
186	6	Dragon_4	186	Monster_186	42	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Lightning_Blue_Dragon	0		wound/dragon
187	6	Dragon_3	187	Monster_187	42	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Mirage_Green_Dragon	0		wound/dragon
188	6	Black_Dragon	188	Monster_188	42	1800	1800	0	0	100	999	999	999	21		2	1	151|152|153|154|155|156|157|158|159|160|161|162	10|10|10|10|10|10|10|10|10|10|10|10	0	0	0	0	Black_flame	1		wound/dragon
189	1	Spider_2	189	Monster_189	50	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Night_roar_Predators	0		wound/Spider
190	1	Panther_2	190	Monster_190	50	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Night_roar_Cheetah	0		wound/Leopard
191	1	Spider_1	191	Monster_191	50	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Night_roar_Weaver	0		wound/Spider
192	1	Spider_3	192	Monster_192	50	1350	1350	0	0	100	999	999	999	13		1	1	178|179|180|181|182|183|184|185|186|187|188|189|190|191|192|193	10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10	0	0	0	0	Widow_night	1		wound/Spider
193	6	Dragon_1	193	Monster_193	57	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Red_Screaming	0		wound/dragon
194	6	Dragon_4	194	Monster_194	57	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Blue_Sunstrider	0		wound/dragon
195	6	Dragon_3	195	Monster_195	57	0	0	0	0	100	999	999	999			0	0	0	0	0	0	0	0	Windwatcher_Green	0		wound/dragon
196	6	Dragon_2	196	Monster_196	57	2300	2300	0	0	100	999	999	999	16		2	1	204|205|206|207|208|209|210|211|212|213|214|215|216|217|218|219	10|10|10|10|10|10|10|10|10|10|10|10|10|10|10|10	0	0	0	0	Golden_Wings	1		wound/dragon
197	3	Felipe	197	Monster_197		2500	2500	0	0	100	3000	0	0	22		2	0	0	0	0	0	0	0	Felipe	1		wound/HumanMale
198	3	Charmilles	198	Monster_198		1200	1200	0	0	100	0	2500	0	19		1	0	0	0	0	0	0	0	Charmilles	1		wound/HumanFamale
199	3	Empire_1		Monster_199		1200	1200	0	0	100	1500	0	0	3		1	0	0	0					Imperial_Swordsman	0		wound/HumanMale
200	3	Empire_2		Monster_200		1200	1200	0	0	100	0	0	1500	10		1	0	0	0					Imperial_Crossbowman	0		wound/HumanMale
201	3	Rebels_1		Monster_201		1200	1200	0	0	100	0	0	600	0		0								Gleneagles_longbows			wound/HumanMaleEnemy
202	3	Rebels_1		Monster_202		1200	1200	0	0	100	0	0	600	0		0								Gleneagles_crossbowman			wound/HumanMaleEnemy
203	3	Captain_Hannibal		Monster_203		1200	1200	0	0	100	1500	0	0	6		1								Captain_Hannibal			wound/HumanMaleEnemy
204	3	Eagle_king_Joan		Monster_204		1200	1200	0	0	100	0	2600	0	4		1								Eagle_king_Joan			wound/HumanMaleEnemy
205	3	Rebels_3		Monster_205		1200	1200	0	0	100	0	600	0	0		0								Gleneagles_heavy_cavalry			wound/HumanMaleEnemy
206	3	Rebels_2		Monster_206		1200	1200	0	0	100	600	0	0	0		0								Gleneagles_defenders			wound/HumanMaleEnemy
207	6	Black_Dragon		Monster_207		9999	9999	0	0	100	0	0	9999	29		4								Black_Dragon		1	wound/dragon
