INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT								
220	2	0	Equip_220	Maxxis_Staff	0	55	500	0	0	244	0	0	0	0	0	8	0	20	0	0	0	0	0	4
221	2	0	Equip_221	Stars_Bow	0	55	500	0	240	240	0	0	0	8	0	0	20	20	0	0	0	4	0	0
222	2	1	Equip_222	Stars_Helmet	0	55	500	0	0	0	0	28	0	0	14	14	0	0	0	2	0	0	7	7
223	2	2	Equip_223	Stars_Armor	0	55	500	0	0	16	30	6	0	0	0	0	0	28	0	0	0	0	0	0
224	2	3	Equip_224	Stars_Boots	0	55	500	0	0	25	0	0	610	0	0	0	0	16	0	0	140	0	0	0
225	2	0	Equip_225	Thor_Hammer	0	56	500	0	240	0	4	0	0	0	8	0	22	0	0	0	0	0	4	0
226	2	0	Equip_226	Flare_Scimitar	0	56	500	0	250	0	0	0	0	0	9	0	18	0	0	0	0	0	5	0
227	2	1	Equip_227	Barrier_Helmet	0	56	500	0	0	0	30	0	0	15	15	0	0	0	0	0	0	8	8	0
228	2	2	Equip_228	Barrier_Armor	0	56	500	0	17	0	7	31	0	0	0	0	25	0	0	0	0	0	0	0
229	2	3	Equip_229	Barrier_Boots	0	56	500	0	26	0	0	0	630	0	0	0	16	0	0	0	145	0	0	0
230	2	0	Equip_230	Mystery_Metal_Axe	0	57	525	0	250	0	0	4	0	9	0	0	18	0	0	0	0	5	0	0
231	2	0	Equip_231	Elegy_Staff	0	57	525	0	0	256	0	0	0	0	0	9	0	18	0	0	0	0	0	5
232	2	1	Equip_232	Mystery_Metal_Helmet	0	57	525	0	0	0	0	32	0	0	16	16	0	0	0	0	0	0	8	8
233	2	2	Equip_233	Mystery_Metal_Armor	0	57	525	0	0	18	32	8	0	0	0	0	0	30	0	0	0	0	0	0
234	2	3	Equip_234	Mystery_Metal_Boots	0	57	525	0	0	27	0	0	650	0	0	0	0	18	0	0	150	0	0	0
235	2	0	Equip_235	Sword_of_Gryffindor	0	58	525	0	262	0	0	0	0	0	10	0	19	0	0	0	0	0	5	0
236	2	0	Equip_236	Warhammer_Lightbringer	0	58	525	0	254	0	4	0	0	10	0	0	19	0	0	0	0	5	0	0
237	2	1	Equip_237	Templar_Helmet	0	58	525	0	0	0	34	0	0	17	0	17	0	0	1	0	0	9	0	9
238	2	2	Equip_238	Sunfire_Armor	0	58	525	0	19	0	9	33	0	0	0	0	32	0	0	0	0	0	0	0
239	2	3	Equip_239	Glacier_Boots	0	58	525	0	28	0	0	0	670	0	0	0	19	0	0	0	155	0	0	0
240	2	0	Equip_240	Brotherhood_Sword	0	59	550	0	267	0	0	0	0	0	0	10	20	0	0	0	0	0	0	5
241	2	0	Equip_241	Disaster_Axe	0	59	550	0	261	0	0	4	0	0	11	0	20	0	0	0	0	0	6	0
242	2	1	Equip_242	Blood_Helmet	0	59	550	0	0	0	0	36	0	18	18	0	0	0	0	2	0	9	9	0
243	2	2	Equip_243	Bloodforged_Armor	0	59	550	0	0	20	34	10	0	0	0	0	0	34	0	0	0	0	0	0
244	2	3	Equip_244	Bloodforged_Boots	0	59	550	0	0	29	0	0	690	0	0	0	0	20	0	0	160	0	0	0
245	3	0	Equip_245	Ice_and_Fire_Staff	0	60	550	0	0	274	0	0	0	11	0	0	0	24	0	0	0	6	0	0
246	3	0	Equip_246	Blazing_Angels_Bow	0	60	550	0	270	270	0	0	0	0	0	11	24	24	0	0	0	0	0	6
247	3	1	Equip_247	Phoenix_Helmet	0	60	550	0	0	0	38	0	0	0	19	19	0	0	3	0	0	0	10	10
248	3	2	Equip_248	Flamboyant_Armor	0	60	550	0	21	0	11	35	0	0	0	0	36	0	0	0	0	0	0	0
249	3	3	Equip_249	Blaze_Boots	0	60	550	0	30	0	0	0	730	0	0	0	22	0	0	0	170	0	0	0
250	3	0	Equip_250	Infinity_Blade	0	1	1	0	90	90	0	0	0	3	0	0	3	3	0	0	0	0	0	0
251	2	1	Equip_251	Infinity_Helmet	0	1	1	0	0	0	15	15	0	0	0	0	3	3	0	0	0	0	0	0
252	2	2	Equip_252	Infinity_Armor	0	1	1	0	0	0	16	16	0	0	0	0	3	3	0	0	0	0	0	0
253	2	3	Equip_253	Infinity_Boots	0	1	1	0	10	0	0	0	300	0	0	0	0	0	0	0	20	0	0	0
